original_path,local_path,sha256,classification,purpose,retention_reason,ignore_rule
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_74hc86_terminal_v2_temp_2026_07_14/04_local_proteus_scale_gate/G01_S09_74HC86_9X_COMPLETE_COPY.pdsprj,f69760072f007c1c5776e93afecfea7bb5b9d6c7b399a2480b664a3d6904946b,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_74hc86_terminal_v2_temp_2026_07_14/04_local_proteus_scale_gate/G02_S09_74HC86_9X_COMPLETE_COLD_REOPEN_COPY.pdsprj,f69760072f007c1c5776e93afecfea7bb5b9d6c7b399a2480b664a3d6904946b,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_74hc86_terminal_v2_temp_2026_07_14/04_local_proteus_scale_gate/G03_S15_74HC86_15X_COMPLETE_COPY.pdsprj,e00e8e2479fcee7257da0cc76ed9d608a490a97c0d9483cc60ec39e641498686,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_74hc86_terminal_v2_temp_2026_07_14/04_local_proteus_scale_gate/G04_S15_74HC86_15X_COMPLETE_COLD_REOPEN_COPY.pdsprj,e00e8e2479fcee7257da0cc76ed9d608a490a97c0d9483cc60ec39e641498686,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/03_solo_15x/S01_74HC00_8X_CAPPED_FROM_15X_REQUEST/S01_74HC00_8X_CAPPED_FROM_15X_REQUEST_CATALOGUE_TERMINAL_sa.pdsprj.Vincero.Empty.workspace,f2daa7ea7bb15c958acda42d066680f2986e3111dd924c0398eb28b2584ed452,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/03_solo_15x/S02_74HC02_12X_CAPPED_FROM_15X_REQUEST/S02_74HC02_12X_CAPPED_FROM_15X_REQUEST_CATALOGUE_TERMINAL_sa.pdsprj.Vincero.Empty.workspace,8482a208eb4b13c93b28a26f82736585ada9659d4f42720ae3f6164558a0a023,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/03_solo_15x/S06_74HC266_15X/S06_74HC266_15X_CATALOGUE_TERMINAL_sa.pdsprj.Vincero.Empty.workspace,b1cf3649d16e52b08e44fe9efa6e9edc9e08c8bd658c635073185b2f63aba80b,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/04_mixed_accepted_two_pin_terminalized_dil14_bare_1x/M001_ACCEPTED_TWO_PIN_TERMINALIZED_DIL14_BARE_1X_NO_TERMINAL.pdsprj.Vincero.Empty.workspace,e101b6cd836489b768d4c694d34dd9ea112e8b967f68c3fd429b1214e40ecb7c,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/04_mixed_accepted_two_pin_terminalized_dil14_bare_1x/M001_ACCEPTED_TWO_PIN_TERMINALIZED_DIL14_BARE_1X_sa.pdsprj.Vincero.Empty.workspace,9416cf5d61117eab24573073ab5a913081de8b1d42eb0f3f1848ee371c128191,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/G01_DIL14_1X_BAD_RECORD_SAVE_COPY.pdsprj,c6357e5e8075d0934ee1118c9b757305977b7486aef746f98d34ff65eff1917b,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/G02_74HC08_1X_BAD_RECORD_SAVE_COPY.pdsprj,ad8afec7415a8b304ba9da28456f84f5032d6a482e8e54c3877e03e5438505ad,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/G03_74HC00_1X_GATE_COPY.pdsprj,26e74ff1d0e35a4e959ddc027abe43b38ff1238a63d220da3a076f3d3a6f7b6a,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/G04_74HC02_1X_GATE_COPY.pdsprj,9bad34486bccfb6eaefb97040d261a7855969944bafbb98799ebf74d127f4584,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/G05_74HC00_1X_DIAGNOSTIC_COPY.pdsprj,26e74ff1d0e35a4e959ddc027abe43b38ff1238a63d220da3a076f3d3a6f7b6a,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/G06_74HC00_1X_NO_TERMINAL_RETRY.pdsprj,ec0f5cbebb7458a6503337fe448b169e8717a98eba4be6cc8b40724858fe20cf,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*local*gate*/**/*.pdsprj
new during reorganization,proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/G07_74HC00_1X_TERMINAL_RETRY.pdsprj,26e74ff1d0e35a4e959ddc027abe43b38ff1238a63d220da3a076f3d3a6f7b6a,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*local*gate*/**/*.pdsprj
new during reorganization,"proteus/experiments/runs/dil14_quad_2input_logic_terminal_v1_temp_2026_07_13/local_proteus_gate/Project Backups/G01_DIL14_1X_BAD_RECORD_SAVE_COPY [20260713, 01-17-52].pdsprj",317004ed6fac36fb688dc4c47df3e98bc48d04a742274820784362b4813a4dec,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*local*gate*/**/*.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC283_1X_NATIVE_CONTACT_sa_GATE_COLD_COPY.pdsprj,cfa35e8b3862c1cb69768e498067db28e3990132583c4d99cbeed15fe7eabd5a,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC283_1X_NATIVE_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,cfa35e8b3862c1cb69768e498067db28e3990132583c4d99cbeed15fe7eabd5a,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC283_1X_GRID_CONTACT_sa_GATE_COLD_COPY.pdsprj,b826b47b7b309d6036414e37e59769844862342ef031ec2dda022de37566d59f,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC283_1X_GRID_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,b826b47b7b309d6036414e37e59769844862342ef031ec2dda022de37566d59f,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC283_1X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,16cb241526869b84545e400350b9b88200fe19d072bb4aaffd89493f27517f14,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC283_1X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,16cb241526869b84545e400350b9b88200fe19d072bb4aaffd89493f27517f14,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC283_9X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,af33f5bb1d90cfff9dcc316119ee23f232af2312a819fc9b400d0cb04866751a,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC283_9X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,af33f5bb1d90cfff9dcc316119ee23f232af2312a819fc9b400d0cb04866751a,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC283_15X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,7dd0a57330a48eaa3e604530fa2fe2fca747fd52234dcda194b9df48f60ff049,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_arithmetic_74hc283_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC283_15X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,7dd0a57330a48eaa3e604530fa2fe2fca747fd52234dcda194b9df48f60ff049,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC85_1X_NATIVE_CONTACT_sa_GATE_COLD_COPY.pdsprj,64f0b95c38af56ab1feaa06c35799e0056c8d6f765ede8d0a51b7e845384ba13,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC85_1X_NATIVE_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,64f0b95c38af56ab1feaa06c35799e0056c8d6f765ede8d0a51b7e845384ba13,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC85_1X_GRID_CONTACT_sa_GATE_COLD_COPY.pdsprj,22e73d234ca11692ffbfd032b0c56f4c2592dea835b0a69113184b71cca31509,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC85_1X_GRID_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,22e73d234ca11692ffbfd032b0c56f4c2592dea835b0a69113184b71cca31509,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC85_1X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,a9a7d00f6343694263d7afc407dd91f2cdf398fe90b5301aa527e1015dfd7821,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC85_1X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,a9a7d00f6343694263d7afc407dd91f2cdf398fe90b5301aa527e1015dfd7821,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC85_9X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,b2fa0b01f75bdfc39619c8e6b78844c2ce9f1971d51d00eff61668eec293f3d2,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC85_9X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,b2fa0b01f75bdfc39619c8e6b78844c2ce9f1971d51d00eff61668eec293f3d2,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC85_15X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,de1214ac956cea89a1c5bd4dc6ef6df505a3f585ce09de6e4c32c697e5751c4e,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_compare_74hc85_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC85_15X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,de1214ac956cea89a1c5bd4dc6ef6df505a3f585ce09de6e4c32c697e5751c4e,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC160_NATIVE_PIN_CONTACT_sa_GATE_COLD_COPY.pdsprj,0955e2ceebcecc3af08874a3a202c41fb791e5dad324d851fd683128fbd10372,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC160_NATIVE_PIN_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,0955e2ceebcecc3af08874a3a202c41fb791e5dad324d851fd683128fbd10372,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC160_GRID_CONTACT_sa_GATE_COLD_COPY.pdsprj,c615836a5af14d5735c933bc7272aecc2ba592fd0b0ebbe55329cdc29536e059,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC160_GRID_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,c615836a5af14d5735c933bc7272aecc2ba592fd0b0ebbe55329cdc29536e059,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC160_CATALOGUE_TERMINAL_sa_GATE_COLD_COPY.pdsprj,003291730eb120146f1bdbe081ab4b8e31fcda7de4b8c9e6ff3ccf65a4e27258,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC160_CATALOGUE_TERMINAL_sa_GATE_NORMAL_COPY.pdsprj,003291730eb120146f1bdbe081ab4b8e31fcda7de4b8c9e6ff3ccf65a4e27258,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC160_9X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,7f7351b335f6cf4d229adc2db03095078796d55e37b5dbd684a8a3803ef1abd1,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC160_9X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,7f7351b335f6cf4d229adc2db03095078796d55e37b5dbd684a8a3803ef1abd1,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC160_15X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,035c894d2708efd93a178da382dcb8bac1d59d0b6f14fc714900dceee28dee5e,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc160_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC160_15X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,035c894d2708efd93a178da382dcb8bac1d59d0b6f14fc714900dceee28dee5e,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC192_1X_NATIVE_CONTACT_sa_GATE_COLD_COPY.pdsprj,185c9e99e301c82de3cab77b0441c7e0d88bad3876c55aa3f6cb635fe8a99c0d,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/01_solo_1x/C02_74HC192_1X_NATIVE_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,185c9e99e301c82de3cab77b0441c7e0d88bad3876c55aa3f6cb635fe8a99c0d,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC192_1X_GRID_CONTACT_sa_GATE_COLD_COPY.pdsprj,00d3061bd496ecc294471369ca83982a8dab29a9a2f6ab8cd6c7a257f0ba6282,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/01_solo_1x/C03_74HC192_1X_GRID_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,00d3061bd496ecc294471369ca83982a8dab29a9a2f6ab8cd6c7a257f0ba6282,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC192_1X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,7c1c3a8a1af6c3a7f08c622973e2194f55651aa28abdc4e3a14ca354df1f1f0d,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/01_solo_1x/C04_74HC192_1X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,7c1c3a8a1af6c3a7f08c622973e2194f55651aa28abdc4e3a14ca354df1f1f0d,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC192_9X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,6914e5caf9db8f372ac0c83c30396d09a82a5a2f8c3abc29af54e0fc07123633,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S09_74HC192_9X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,6914e5caf9db8f372ac0c83c30396d09a82a5a2f8c3abc29af54e0fc07123633,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC192_15X_COMPLETE_sa_GATE_COLD_COPY.pdsprj,6dd8df3a464176c63f0f1a736ae301b0c28addfe750d771c19f4dc6918f1da0d,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_counter_74hc192_terminal_v3_temp_2026_07_15/03_scale_9x_15x/S15_74HC192_15X_COMPLETE_sa_GATE_NORMAL_COPY.pdsprj,6dd8df3a464176c63f0f1a736ae301b0c28addfe750d771c19f4dc6918f1da0d,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_decoder_4511_terminal_v3_temp_2026_07_15/01_solo_1x/C02_4511_NATIVE_PIN_CONTACT_sa_GATE_COLD_COPY.pdsprj,4de9d3dbe4d51a43ca305c887317a6bfc7960da94f513992f9f884fa5b9505bf,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_decoder_4511_terminal_v3_temp_2026_07_15/01_solo_1x/C02_4511_NATIVE_PIN_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,4de9d3dbe4d51a43ca305c887317a6bfc7960da94f513992f9f884fa5b9505bf,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_decoder_4511_terminal_v3_temp_2026_07_15/01_solo_1x/C03_4511_GRID_CONTACT_sa_GATE_COLD_COPY.pdsprj,c341b8eef27f812f4c99923e4ed2a56a9245b516debebd7c97825cb3b032db21,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_decoder_4511_terminal_v3_temp_2026_07_15/01_solo_1x/C03_4511_GRID_CONTACT_sa_GATE_NORMAL_COPY.pdsprj,c341b8eef27f812f4c99923e4ed2a56a9245b516debebd7c97825cb3b032db21,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
new during reorganization,proteus/experiments/runs/dil16_decoder_4511_terminal_v3_temp_2026_07_15/01_solo_1x/C04_4511_CATALOGUE_TERMINAL_sa_GATE_COLD_COPY.pdsprj,9d00ecb907ba1e668cc1d1638552e3df28de7eec25ee6f55e672e3531914f108,Disposable Proteus loader copy,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/*_COPY.pdsprj or **/*_GATE.pdsprj
